Sample ID,Oxygen Concentration (O2 %),Carbon Dioxide Concentration (CO2 %),Nitrogen Concentration (N2 %),Humidity (%),Temperature (°C),Packaging Type,Storage Time (days)
47,6.61476149,49.02960821,23.29017789,38.59860218,9.410929142,Paper,251
48,10.96942164,52.91279474,0.194209948,56.72432571,5.871402448,Plastic,276
49,11.52624484,33.51080846,75.73934297,51.30568598,15.48185467,Metal,83
50,3.96345812,51.97933799,98.52221186,59.73968064,27.30681598,Metal,320
51,20.36431872,19.83583498,81.01032072,82.21974207,1.306397335,Metal,118
52,16.30027601,80.5369223,46.07464115,76.55168632,22.97412264,Glass,29
53,19.73552788,18.65911777,90.38634941,35.03937008,17.17419684,Plastic,358
54,18.80189162,8.58813236,41.04378254,83.41855187,12.7634735,Paper,138
55,12.59610956,43.68097803,52.54091502,58.30602907,22.32241332,Plastic,157
56,19.36717151,65.86491321,47.76526376,74.63172869,28.97473273,Paper,31
57,1.949493293,43.82791081,44.81762488,38.40235388,6.876186335,Paper,331
58,4.196041825,27.74773778,77.54155785,70.24317154,4.309420952,Plastic,286
59,1.045250338,55.86130127,52.72421384,44.17956106,27.38645236,Metal,153
60,6.899403913,34.76553331,31.74004049,56.30285383,20.06859232,Metal,336
61,8.223355355,93.29348224,25.89000095,31.0117722,13.13958065,Paper,58
62,5.771194764,92.27224945,3.870956965,39.09663828,17.19778711,Metal,313
63,17.42061394,50.28694482,58.36119667,35.52482959,22.36841716,Glass,87
64,7.556144528,32.855611,23.0731454,44.38465038,23.19095696,Glass,123
65,5.971531252,73.73952815,14.89857881,36.0010854,27.59682542,Paper,191
66,11.44234814,3.767623054,65.41761339,71.5146016,12.80528367,Metal,353
67,3.045316302,47.5294237,68.15280486,31.74239413,8.802327301,Paper,293
68,16.8659169,33.69870709,75.24027374,67.06443004,19.189928,Glass,314
69,1.658108453,92.06153492,50.40733194,38.44246985,12.47183698,Glass,28
70,20.72593697,1.299102425,89.41605506,86.70968743,17.83795362,Glass,155
71,16.23991568,55.32620608,93.64064106,85.98564439,12.59957395,Plastic,230
72,4.253157744,74.09229175,80.75635689,43.53018615,4.5898736,Glass,37
73,0.215412248,48.55329695,63.59578885,66.86527789,14.08280255,Metal,6
74,17.14314385,8.631762713,30.44172326,31.68031917,20.72753466,Plastic,318
75,14.87331849,97.24889286,98.29619767,85.90731258,23.97851423,Glass,225
76,15.33624981,51.84924209,27.4862031,61.37923849,14.7997883,Metal,33
77,16.21955025,61.45720581,20.34542651,32.59338909,4.957136706,Glass,89
78,1.647533221,23.73731729,44.27119597,50.54999958,12.44063129,Metal,334
79,7.591933727,48.4014587,5.778373014,34.61096771,23.58881787,Metal,40
80,2.521663344,42.97203425,97.85159702,53.57666636,12.38577812,Glass,169
81,18.1388616,7.582094616,58.88451229,70.19558053,20.89592381,Glass,298
82,13.12693085,10.70541932,55.73951396,58.19339448,15.21641045,Plastic,18
83,7.015768719,83.76350471,65.61404836,53.02333048,7.236693753,Glass,15
84,1.428369521,24.05801323,49.75266241,37.14942273,23.88451524,Metal,132
85,6.599530524,19.57633132,3.303145358,44.69634274,2.526403622,Paper,290
86,6.89633143,50.54065398,61.26989776,36.00859726,15.74670848,Plastic,318
87,15.34876913,76.89783842,71.64577031,78.4499239,6.266731027,Metal,294
88,13.42495115,6.288457206,41.73323116,38.11438968,2.011968856,Metal,209
89,18.64274632,57.72311117,75.75382765,65.72240199,15.08801811,Paper,327
90,9.969291936,12.00912324,22.7774298,50.56442482,14.98686468,Glass,279
91,2.59951974,3.742458977,22.20553145,43.55870308,21.20702705,Metal,276
92,15.00681605,5.369120821,16.22555707,68.36810637,22.34252079,Paper,309
93,16.00040752,83.43299441,37.2622765,57.42013856,21.83374466,Paper,277
94,11.83069343,11.88545111,84.71650234,54.00872804,12.28676199,Glass,76
95,16.21321406,4.610621305,82.80841501,65.57112029,18.95069362,Paper,298
96,10.42032796,43.84619873,38.34413838,59.47605771,17.30835728,Paper,313
97,11.02511613,84.41494785,58.95296172,48.20905251,12.64685268,Paper,347
98,9.035607284,26.31459681,72.10955002,63.54367727,17.91638083,Paper,112
99,0.631259749,42.22909049,24.19655679,70.16991459,28.4174363,Paper,266
100,2.354930824,4.088261003,16.89729448,31.60158952,5.78681231,Paper,72
101,0.756869981,44.96294356,97.21238972,57.95230373,27.17316287,Metal,317
102,13.4009776,57.80354676,61.79397559,33.46099708,1.603665419,Plastic,21
103,6.670040004,57.13361467,98.14343061,41.18432484,9.251676387,Glass,188
104,10.72912745,33.30942655,33.84182311,63.63052404,8.644357458,Plastic,121
105,19.06813931,31.62176475,70.33286683,81.97133492,18.79095324,Glass,342
106,5.310207589,10.75169953,22.33810329,82.96834075,3.936748553,Plastic,141
107,8.677003091,36.74315223,26.19389711,34.19664061,26.47042836,Glass,304
108,15.8910188,10.03951742,51.23902191,55.14630518,24.85654225,Paper,204
109,4.881881659,76.68293488,32.02985074,64.98038898,19.56197459,Plastic,209
110,1.708880115,96.63080235,16.84539423,38.82419427,13.75241495,Plastic,9
111,6.155805366,97.01043822,26.36178213,75.925933,27.98868126,Glass,185
112,3.469524904,86.52060283,3.671264607,74.65411551,24.92239664,Glass,296
113,19.53068093,60.11913572,70.47191979,84.20046082,14.97945444,Metal,332
114,16.98971593,70.11648315,49.26245404,30.50916073,21.05620063,Paper,201
115,13.33813851,28.59205969,9.514882334,43.00105464,17.00789857,Paper,64
116,18.31352633,63.11396498,17.25222991,79.63120285,17.63826715,Metal,350
117,16.89674641,45.61938999,10.34320036,70.23480305,9.929282083,Glass,326
118,3.999314231,48.25353224,61.29802155,83.66339122,13.86253814,Paper,320
119,18.75448307,75.80187838,9.511615325,33.43077927,2.343642924,Glass,25
120,11.37225286,28.26364372,75.45280507,65.81783794,10.72046075,Paper,156
121,16.97549924,31.87215721,2.14904084,64.14279449,20.87485546,Plastic,221
122,18.82830817,92.47171493,25.01264122,32.14046498,28.59648092,Plastic,292
123,6.746272627,5.716807056,89.07760092,60.81132461,28.89192338,Paper,139
124,2.400085223,48.61486641,71.88127868,66.57121868,16.67168607,Paper,21
125,4.863844897,91.28879996,7.389536459,41.47759045,18.19866755,Paper,154
126,9.026552782,61.07526448,82.13049784,46.39977499,5.571635565,Metal,68
127,17.19650861,54.68606671,49.35420864,68.42084078,20.85924324,Paper,41
128,18.08926919,25.04944351,84.69362441,58.09805686,2.11976378,Metal,15
129,0.245299528,34.39322136,60.11390347,81.48081945,8.540570574,Metal,279
130,10.77461862,85.21963674,68.2151199,50.54290596,20.05090042,Plastic,169
131,8.823889966,55.96589136,99.35080588,45.9995795,9.309303946,Paper,134
132,4.742053239,51.52274516,23.31032104,89.09195642,1.495406223,Plastic,199
133,2.605186177,10.04801338,62.43216292,84.66814621,24.95611228,Plastic,238
134,7.156157082,1.70121283,46.08610687,31.7395647,9.309900214,Metal,112
135,19.80681281,96.37215035,4.041250097,76.24371692,1.893156746,Glass,52
136,6.854941279,37.76091811,1.545617086,36.62008643,2.243644935,Metal,137
137,10.94272399,60.3609849,12.01093492,31.64911169,7.552763964,Plastic,255
138,14.79309624,8.063535811,64.94426488,46.42173096,5.340478417,Metal,115
139,7.69985869,68.34311714,56.75959248,46.16075274,23.22900353,Metal,158
140,20.41024553,93.2634142,55.38761316,79.15912574,9.6505214,Metal,300
141,20.21514846,57.60895877,3.282490577,72.64003476,24.14087355,Paper,264
142,5.362249983,12.69892071,46.98336934,88.89656564,5.215379935,Metal,355
143,10.49249377,58.21398059,92.4698195,72.69077402,14.78637539,Plastic,307
144,6.388356675,76.65808659,39.81942774,55.0953332,20.64111401,Metal,99
145,6.053166332,40.701012,62.52975473,71.93565966,19.55972562,Paper,121
146,0.8709372,87.99579102,78.00388569,89.96754403,18.0338823,Plastic,90
147,12.83989458,64.90342704,78.41413539,72.60851295,27.74464806,Metal,30
148,10.60599159,89.93496694,51.97608023,75.70088136,6.855754431,Plastic,230
149,1.175905901,62.38818059,85.80939935,86.30190091,14.81157613,Paper,139
150,5.923711103,13.2156684,39.19867153,36.81907568,26.5197765,Glass,254
151,19.08275702,31.03820194,88.88045216,72.28705761,2.336812968,Paper,31
152,5.106843515,20.25931533,24.09869392,81.04835748,1.676648048,Paper,162
153,3.128302827,90.89176712,28.09361906,87.26271601,6.999068627,Plastic,156
154,10.32956269,76.06396672,5.406750357,42.65815738,18.99063659,Plastic,323
155,20.70009449,67.67219705,79.57862547,60.23574046,7.796388793,Glass,117
156,5.158955175,30.16653533,41.7638181,70.83329086,5.707196514,Glass,191
157,14.14763294,18.48607273,22.98874973,44.84806377,13.76406946,Glass,176
158,16.01784996,75.66946369,23.25584873,66.0283718,18.40794206,Paper,5
159,5.066624669,47.46837879,90.14985413,45.45472695,7.456731211,Paper,333
160,15.31972169,22.65637626,83.40826839,50.00742123,9.020735602,Glass,12
161,7.786667474,61.70053562,55.39773545,56.49112179,18.40677914,Glass,59
162,13.31519186,4.129351829,61.64946896,61.75140592,28.37215266,Glass,321
163,13.34077095,32.68440839,47.4851245,56.9619523,20.24225182,Metal,308
164,11.2976909,46.90884376,39.22748763,59.59173119,23.48712431,Metal,299
165,1.987056194,14.88103758,91.55614043,47.91532538,11.00430284,Glass,250
166,17.55782216,98.46698231,12.64870908,39.53790564,8.167630782,Paper,339
167,6.804303358,20.98882672,41.90283429,32.84099864,13.6280323,Plastic,93
168,3.998236867,13.12227769,34.52173461,41.75872335,24.21398486,Paper,319
169,0.952200458,20.4331339,49.86525695,64.91661849,13.68898925,Plastic,111
170,12.44966251,76.9292072,45.81742427,77.16692687,25.40176226,Glass,306
171,14.26109516,42.60801536,51.93706421,40.15485585,29.66315942,Metal,295
172,0.446685625,56.58505238,14.07790582,36.51332147,2.160799972,Metal,336
173,10.80274492,2.198814783,51.362836,74.95742163,1.362304683,Plastic,17
174,4.833761702,3.539687726,24.31763951,48.30949983,4.487691087,Glass,220
175,13.58411132,44.63797243,18.51470176,87.08996635,11.53109027,Metal,299
176,3.744258366,81.6838588,6.576938457,72.85907824,3.931266274,Glass,305
177,14.54059873,88.53536398,76.28899062,49.60536283,26.11993433,Glass,5
178,8.182768738,8.761986103,42.80144789,47.37256487,0.694387531,Plastic,129
179,19.67765676,53.8824739,62.70170396,61.42190318,9.47378149,Glass,323
180,2.974187733,91.33164566,72.786575,34.7486801,5.540838885,Glass,112
181,7.228286737,38.85847816,67.96373486,37.06059076,27.9461799,Plastic,24
182,2.471596594,82.97362656,47.10302184,40.55147288,20.08443015,Metal,29
183,19.42609662,13.45619587,38.85106304,76.4834156,27.36090769,Paper,132
184,18.43639249,93.54590952,37.65839497,60.83144156,29.16986131,Glass,44
185,5.490980019,75.16718942,64.04087481,30.63402737,14.91294731,Plastic,321
186,13.89366656,94.13930584,49.52995606,70.41099165,7.029573241,Metal,207
187,17.17994398,67.69406163,84.92831157,55.42141072,5.811863586,Glass,216
188,11.70369696,36.40405281,87.48272823,60.6511419,6.687565851,Paper,244
189,11.16969709,93.82429914,17.13898176,42.8469746,21.25779923,Metal,31
190,5.15471288,27.62912095,13.70974179,63.1069337,1.213371844,Plastic,266
191,2.045847847,33.28403495,63.07705251,88.74919439,1.540832191,Glass,11
192,18.85180934,70.11076096,30.19245223,34.40668146,18.24428827,Plastic,82
193,18.91873739,76.55509832,1.955214805,47.03504398,19.2617144,Paper,156
194,13.33182046,92.94740804,88.87540267,44.57985557,19.95788773,Paper,166
195,7.185722633,20.55976066,22.76738665,44.91295865,11.15641514,Plastic,208
196,7.398480109,79.82000372,92.9351371,52.72238145,24.17834666,Glass,24
197,15.27247369,73.88075073,71.77170164,79.08658708,16.00873763,Plastic,295
198,18.84960443,6.47307617,76.28908364,84.7715214,3.1639689,Metal,179
199,18.64010627,38.78359181,20.22600343,42.13290525,23.91297921,Plastic,332
200,16.39939891,28.34826916,23.49602312,62.57699628,28.59203359,Paper,50
201,13.5184614,30.51859339,52.17464861,68.21393833,1.80108939,Glass,7
202,1.858525268,98.29639327,17.29277528,61.30964846,11.74054016,Glass,100
203,3.478040125,64.31346361,30.6126261,56.04458365,14.62548135,Paper,81
204,18.87978254,71.79584816,32.21410155,41.51853035,4.394122802,Paper,241
205,12.77436735,97.66410197,16.04703033,59.29316155,26.03126843,Metal,324
206,0.292218379,37.78245807,20.59776506,54.07288966,8.524489347,Paper,181
207,2.220755246,80.20383283,78.87632902,77.73380175,23.4902562,Paper,293
208,13.96718697,43.50964323,16.80286587,75.81626155,20.12983446,Paper,83
209,0.205787102,86.96641381,2.942893445,38.03992087,17.94137467,Glass,54
210,3.460888275,18.14768838,62.97255877,35.31114315,5.764285461,Paper,90
211,11.5685362,94.77384909,97.60071363,84.48923659,6.621105617,Plastic,203
212,14.56060963,21.95529367,33.18826008,62.13050334,1.420452142,Plastic,31
213,13.72599032,32.68942865,11.95370475,81.46805624,7.221372893,Glass,193
214,4.787228568,75.64360419,57.0816938,33.48906723,10.36330828,Metal,100
215,14.98454573,39.43613864,90.64478569,61.59093699,24.99435912,Metal,349
216,5.058505929,60.86031654,78.4277718,62.36559087,10.99178,Glass,89
217,6.900853692,44.51289276,62.28933525,81.64212195,22.63865348,Plastic,123
218,15.70167037,74.26275672,31.57414401,35.85659989,13.18326844,Glass,47
219,13.67732759,22.91029211,54.23382931,44.42673382,23.54604936,Paper,146
220,17.84876928,5.939952925,9.215359646,54.39229883,29.28814801,Glass,3
221,13.84410945,30.06294681,67.92664789,81.95048853,7.195246742,Metal,18
222,11.97764981,47.48343562,72.53709229,86.3329989,25.87024836,Plastic,314
223,2.057802648,16.88520321,96.50665913,89.56347718,18.65472259,Metal,327
224,7.785260284,35.54424924,26.11369614,87.55160919,24.51882785,Metal,81
225,5.642729485,40.05830353,1.943796262,30.35650535,19.54757707,Plastic,153
226,5.199383547,5.833445184,54.6062856,32.86250049,12.71848522,Paper,308
227,20.43592059,58.37239409,70.70837139,38.85640915,6.842248183,Plastic,299
228,8.315742446,88.44590845,79.06170684,50.93172581,2.10105676,Plastic,67
229,18.743773,15.259117,19.45451941,79.79508186,16.06555093,Glass,89
230,13.29079728,59.82102054,26.24911162,83.55937172,29.70978284,Plastic,135
231,16.71155624,66.50744657,51.30783343,41.21006438,22.14125415,Glass,202
232,10.60511525,41.99153457,33.12702092,67.1798491,9.820366242,Metal,179
233,12.15729119,70.13964898,86.06509751,85.0417191,24.816144,Plastic,339
234,10.3936198,41.13208119,47.42863936,57.82390416,23.06952001,Paper,79
235,4.180578445,50.51326507,79.97790655,36.21261432,8.449073801,Glass,85
236,15.19924921,0.834569151,58.10391407,57.46881901,0.429224694,Glass,21
237,5.968142375,69.2028394,77.33170515,52.54769414,3.544879156,Paper,165
238,0.608203698,66.16813363,33.33403135,64.65947976,26.31918571,Glass,28
239,13.59037098,3.936247645,83.15852053,56.31952106,25.09689106,Glass,237
240,3.8016132,36.88818573,27.52977432,31.04075561,8.856270026,Paper,288
241,19.75558441,97.9052809,54.65527092,89.639864,8.555862789,Metal,185
242,20.03710726,42.1315826,21.47931061,62.61241426,23.78594961,Plastic,310
243,19.22066576,50.24434597,47.60509951,58.41784533,28.1321241,Plastic,155
244,7.836316835,91.0020228,31.88570343,87.27704229,23.3741177,Plastic,123
245,0.423043285,71.7544614,26.74367272,39.35162206,18.16736031,Plastic,87
246,19.50185796,58.2488061,96.7018033,41.35425615,7.28014051,Plastic,202
247,9.0490487,79.80068767,16.09140314,78.48088494,15.77243742,Plastic,40
248,20.30308572,86.45019002,78.75385116,45.6498648,7.005355758,Glass,169
249,20.23965752,45.74311837,98.41807945,77.95362638,24.2403426,Plastic,70
250,17.92789762,47.56332566,2.088158226,46.29200897,11.60883239,Glass,280
251,6.253981844,38.66648847,69.93283866,31.99125781,25.01091651,Paper,330
252,8.148542528,96.67394339,25.36588938,61.02088343,11.44827654,Metal,354
253,17.88875643,69.7469088,4.14473365,41.80118605,24.72448216,Glass,328
254,6.723669908,8.413984314,40.34866894,75.47077758,9.999534455,Metal,27
255,3.642398406,86.30966637,93.52825924,68.47197799,13.20398114,Paper,345
256,11.73714639,48.10793809,1.275332927,85.41616008,18.46465258,Plastic,131
257,19.66563478,6.968515252,58.82978062,76.97930144,2.108628421,Metal,277
258,14.64702275,55.01675379,50.18950821,40.84655729,28.44621185,Metal,295
259,12.01427845,41.77471147,87.35107802,78.0094942,17.20817358,Paper,288
260,2.13098872,87.78716555,8.491771281,68.50422269,15.23460044,Paper,254
261,12.95365104,20.4790609,68.18445039,70.13709851,25.18181913,Paper,85
262,20.79212547,82.66381449,68.04295887,79.93577316,25.9728819,Glass,9
263,3.027755918,55.81310025,66.94109368,64.42944415,15.66781214,Glass,50
264,10.93308973,5.555569291,94.23921604,57.96021086,27.81786977,Metal,1
265,18.4370972,97.1873456,82.32644415,68.19846212,1.942132982,Paper,4
266,15.58206411,51.31026289,4.293075352,47.87744574,3.396773768,Metal,4
267,14.66762899,29.15859774,47.16117679,40.95582787,17.9036469,Plastic,90
268,14.78191736,46.99374351,39.85551031,66.99527028,10.62197585,Paper,162
269,7.61336506,85.79999257,31.08370739,44.03090215,13.92675499,Glass,155
270,6.236069545,30.55982213,45.18853884,34.79490656,9.842376537,Paper,15
271,17.01564815,19.34837201,38.48099907,30.03325108,12.14175934,Metal,32
272,17.03136995,12.99421757,43.2901566,66.49916408,24.67939041,Glass,63
273,18.22181146,29.8561539,97.92826037,51.72892701,17.804286,Plastic,364
274,19.18672755,78.0268039,8.954434177,75.13865824,29.92033648,Plastic,108
275,10.78705614,47.21547388,92.2308639,52.5105839,23.60637593,Metal,14
276,10.58169056,22.82541221,48.07564768,59.16020689,8.209987623,Paper,23
277,16.78436924,16.70188146,62.41185033,54.42509837,7.930353532,Plastic,111
278,13.68424615,33.3396747,83.03527837,69.03448747,10.0769481,Metal,321
279,14.77110773,93.99844485,36.11025661,51.36834972,25.29778442,Glass,160
280,16.73206679,34.36836859,43.09914862,87.826059,0.81862952,Glass,41
281,18.70111164,98.81359519,41.01089618,86.1688192,6.905438366,Metal,282
282,7.164098778,48.57452253,37.53562915,80.88167416,27.14755261,Paper,304
283,7.94968371,17.99847544,92.56037923,85.21801623,19.19689308,Paper,144
284,2.064222543,89.12489517,82.91009613,56.94838131,6.805412865,Paper,288
285,12.18605495,46.08950178,10.98909899,62.18582381,6.574349047,Paper,153
286,0.851193522,70.99616722,10.90152291,74.52555555,25.87854305,Metal,82
287,9.830998579,98.37278716,42.84416453,71.7687555,26.81272525,Metal,226
288,11.44127287,5.112517497,9.955871936,83.44071574,7.683932729,Glass,152
289,6.088712169,9.759786523,61.94740022,72.97986164,12.61531074,Glass,259
290,12.44841515,72.07362847,14.45479157,89.87308249,25.03787216,Paper,318
291,0.737455224,28.25431783,52.28508907,50.91034799,23.13022316,Plastic,79
292,0.880577145,18.51170956,0.821272706,79.97986453,24.4174832,Plastic,195
293,17.29235172,4.032251794,31.72797521,71.85808937,15.55194572,Glass,223
294,7.627984405,2.282486527,67.75135329,71.48318671,27.34647145,Glass,266
295,2.755564714,77.47111175,48.45549013,49.55013569,9.778546319,Metal,230
296,11.01488414,13.52989939,97.82912165,77.13610755,4.70016403,Glass,150
297,16.19286526,46.82528954,87.42296923,84.02256134,21.26196998,Glass,136
298,4.610659475,60.62909184,35.97117083,43.11290769,16.18063248,Paper,123
299,13.11841094,42.89234488,4.644105493,67.52981023,25.63757306,Plastic,358
300,1.883762018,2.807954568,84.57806738,53.52808975,2.434777474,Plastic,110
301,1.180147972,78.37180011,91.1323076,89.37288716,25.3107721,Metal,143
302,11.2053118,1.150271132,82.0806766,58.72996895,8.798839596,Plastic,70
303,11.39927404,76.21280045,12.8821991,43.69921043,19.64567002,Paper,54
304,13.42228494,89.34111893,99.79172193,52.91145751,1.203863672,Paper,332
305,15.27530887,43.34070811,25.93256373,69.23030339,18.28743889,Metal,40
306,20.49530846,53.60069306,72.44807079,34.56536228,21.51815068,Glass,197
307,10.89067728,47.75064092,90.81268415,66.21611521,11.06250644,Glass,27
308,6.849790284,38.981941,23.64514272,85.87348555,6.462321158,Paper,330
309,16.71939147,88.75371108,90.83502961,81.02176726,16.1289203,Metal,299
310,5.760394051,89.40395772,31.01720976,34.0604122,24.99572413,Paper,180
311,9.274502693,33.64805483,97.64368092,89.60339272,9.706420749,Plastic,46
312,1.73973837,61.54546843,28.19787604,71.92361542,7.574078926,Plastic,142
313,0.629830537,92.69806546,95.34823889,39.73684946,8.368059259,Paper,320
314,20.21935187,96.20964404,5.449110624,30.74496535,28.47396459,Glass,98
315,17.57198452,50.94500814,70.95627397,40.27695818,10.77830747,Plastic,126
316,14.64586091,45.33719805,53.25790227,80.29055524,0.108127197,Metal,58
317,8.647116538,27.94156216,47.83992,31.2983595,23.45043624,Glass,177
318,3.721851289,95.89130013,22.42708199,43.98883822,20.97824386,Plastic,207
319,3.369534192,14.36714902,70.5890194,75.43833572,3.857047938,Paper,285
320,5.330076572,58.02497465,19.1618682,65.16663215,29.54712747,Glass,154
321,11.57883729,28.32677173,55.32889542,76.96414262,18.24186856,Glass,27
322,15.03505478,27.97292821,25.39921177,74.76903023,15.02338473,Plastic,323
323,13.89812517,40.55636188,95.56657584,33.03608323,11.46657803,Metal,163
324,5.950618446,99.87941429,2.960256264,83.55068515,26.96018267,Plastic,250
325,20.05668437,5.591134053,20.05285518,43.62191006,7.318904443,Plastic,188
326,15.52204556,57.89632764,24.30682958,63.20354641,8.573067007,Plastic,334
327,11.6859997,8.348958588,41.46537579,68.65728939,3.672324201,Plastic,90
328,12.8849636,15.53663092,23.34975116,40.11769265,22.77357287,Plastic,131
329,8.869641305,44.01233788,49.18577412,88.5738754,17.86647841,Paper,298
330,5.277577681,51.09496712,87.25930577,59.28935737,18.27198508,Plastic,13
331,7.539828984,25.9533616,71.2351358,33.45856174,6.554112931,Metal,29
332,15.93898371,31.71406737,58.03820186,86.23572269,19.53505167,Glass,265
333,0.400823912,8.788005324,8.99141748,65.17607059,22.96375342,Paper,32
334,2.525918187,30.39165641,69.42981163,71.95159188,10.73665592,Metal,150
335,1.061455218,96.65918809,16.724787,61.5105474,24.04041432,Plastic,86
336,0.951231968,94.47626743,78.65810186,80.08427729,10.46371766,Metal,58
337,17.97912621,33.55434118,25.08067018,31.98800773,22.74415385,Glass,57
338,14.80644926,57.12830823,41.76316796,46.10270192,1.011903224,Metal,25
339,10.01023303,90.96857957,35.11197321,58.17890138,16.53493804,Plastic,190
340,2.144733958,0.717763882,85.89551008,34.59621698,29.08579682,Glass,76
341,10.37477179,81.08728868,12.74179143,72.35440016,29.43733802,Plastic,339
342,9.995560009,94.84211832,56.60792375,53.61980484,8.45257735,Plastic,225
343,3.719919081,9.22344086,14.29195478,46.36007942,13.24197273,Paper,183
344,9.167499469,16.22862383,70.50910403,30.20273081,1.88933724,Glass,154
345,8.428748949,96.07855565,90.51730497,73.1898187,26.20023923,Glass,269
346,12.97126705,53.80026035,43.51730462,80.02855853,17.05716459,Plastic,278
347,13.3734573,1.518243784,48.8604168,53.70243214,11.55302037,Metal,340
348,1.046853804,25.83743668,92.74954136,63.85307862,3.383116755,Glass,363
349,7.929403646,45.04937306,52.14703973,43.66119756,28.40301856,Metal,23
350,13.18047224,69.32160021,48.81108396,67.33185878,15.90657143,Metal,14
351,10.6155478,73.34272178,57.87507736,30.7282475,8.487837872,Glass,94
352,18.00063768,99.54260914,68.95405066,59.31863383,10.5064539,Metal,343
353,13.8666969,28.82236882,10.77764917,68.65232891,8.120915428,Glass,52
354,3.505329526,53.86818818,82.12894172,85.09150639,18.05429427,Paper,339
355,1.574886821,53.37902243,43.60695224,52.88014903,27.89890727,Glass,41
356,13.52656291,40.62396142,7.327616139,75.91141218,25.7008141,Glass,164
357,0.65408639,16.99927319,78.63964865,65.8612218,13.81142626,Glass,6
358,12.34270965,97.74791066,37.75730217,85.62072678,24.79498087,Paper,138
359,19.75081205,85.34638695,10.12671276,53.90266054,12.69316444,Metal,99
360,12.12741032,49.88346953,63.41452605,49.14572039,7.569214223,Paper,341
361,8.212751458,60.36421773,88.02512221,83.22851992,29.50245346,Metal,224
