Sample ID,Solvent Type,Temperature (°C),Casting Speed (m/min),Pressure (bar),Solvent Concentration (%),Additives (Type),PLA Yield (%),Quality Classification
189,Dichloromethane,199.7145834,1.878076604,22.06892312,7.620384644,Stabilizer,88.56736269,High
190,Ethyl Acetate,196.1715899,4.270286214,15.68007568,8.192026503,Fillers,90.71320252,High
191,Dichloromethane,201.2375071,0.82560766,19.78821993,4.255666617,Fillers,94.09870874,High
192,Dichloromethane,203.805267,4.464973168,23.35160088,4.303111435,None,94.763129,High
193,Acetone,180.3969528,1.654977605,17.87368379,9.248155646,Plasticizer,87.27248091,High
194,Dichloromethane,198.5638064,3.168431365,25.34959936,4.878656257,Fillers,86.92831166,Low
195,Dichloromethane,218.5399696,4.711973806,23.05388948,2.504123126,Stabilizer,91.76685633,High
196,Ethyl Acetate,200.7612912,3.551551257,20.3768335,6.804773629,Plasticizer,89.14683886,High
197,Ethyl Acetate,207.1016907,2.364934156,8.769820396,2.998541352,Plasticizer,85.24222338,Low
198,Toluene,192.4745543,3.60290394,25.89872777,8.372769931,Plasticizer,88.46861871,High
199,Acetone,210.9596551,2.047908363,28.39763963,7.13397154,None,93.06744743,High
200,Dichloromethane,210.9168593,1.747662874,8.424128095,8.997812042,Fillers,92.9742693,High
201,Dichloromethane,200.8518419,4.985074751,17.20602824,8.278697998,Fillers,89.94685149,High
202,Toluene,219.0405529,3.87855604,11.47221855,2.896909187,Plasticizer,89.72577935,High
203,Dichloromethane,185.0220086,3.401239898,23.86308269,5.048565411,None,90.79507442,High
204,Acetone,180.6779066,2.098803394,23.0407409,8.196481999,None,87.19396711,High
205,Toluene,210.8063285,0.721223731,8.522128014,5.338731786,Fillers,90.26043625,High
206,Acetone,212.2862215,0.639755942,26.92568178,9.778923878,Fillers,85.1104636,Low
207,Toluene,184.8082892,2.99381565,9.524326599,7.885923599,None,89.75559555,High
208,Toluene,190.6233133,3.929147245,24.93147564,2.123999334,Stabilizer,88.36051046,High
209,Ethyl Acetate,180.7020945,2.918206357,16.42450899,9.039885532,None,91.74869606,High
210,Acetone,191.7323444,4.283532824,13.20680734,2.806438279,Stabilizer,91.38353584,High
211,Dichloromethane,210.925675,0.650419399,8.955981567,3.124189793,Fillers,88.8083588,High
212,Dichloromethane,200.7184211,2.150384344,9.190356404,7.875939205,None,85.07272981,Low
213,Acetone,193.9238237,1.56681676,21.54726387,8.919748475,None,87.52273629,High
214,Dichloromethane,194.8695718,2.512728357,18.7607597,6.290797023,None,91.3334785,High
215,Dichloromethane,180.054145,0.825693769,8.052135541,4.312397864,None,85.72373343,Low
216,Acetone,191.9920211,4.793592387,7.817446511,4.810524362,Plasticizer,86.07642422,Low
217,Toluene,205.8583497,1.504649305,6.807764369,4.743114637,Plasticizer,91.47035025,High
218,Acetone,218.9677778,4.65038499,23.59418368,4.61342483,Fillers,92.55767401,High
219,Toluene,213.8824331,2.416519198,22.79705213,3.943277375,Fillers,88.21549708,High
220,Dichloromethane,180.9437986,4.9348586,6.460774771,6.870936757,None,89.89673066,High
221,Dichloromethane,215.9424242,2.993262726,19.00675189,9.203242549,Plasticizer,94.45711365,High
222,Dichloromethane,211.3279365,4.688747889,7.116903881,4.456659305,Fillers,94.45543562,High
223,Ethyl Acetate,211.2150449,0.524070449,27.59364427,3.49355438,Stabilizer,88.07502774,High
224,Toluene,198.3198304,3.867074628,27.67793548,8.708621331,Plasticizer,93.09987875,High
225,Ethyl Acetate,195.9202117,4.563727939,22.45582475,7.934266647,Plasticizer,90.93944053,High
226,Ethyl Acetate,192.1166292,1.128742551,28.15472304,9.446696252,Plasticizer,94.75484493,High
227,Acetone,182.6277944,0.932566333,25.28632576,3.324157885,None,89.7761357,High
228,Ethyl Acetate,189.1294145,2.410576732,25.7134644,3.154010513,Stabilizer,92.74706868,High
229,Acetone,189.8641454,4.701555078,19.24269626,6.331435154,None,92.6813713,High
230,Acetone,199.3630828,2.940739521,12.65147996,6.915469239,Fillers,89.97432868,High
231,Ethyl Acetate,209.8977763,2.873554087,10.44497788,5.841387535,Stabilizer,92.95630114,High
232,Toluene,198.9523931,1.135067532,13.18000055,6.791733091,None,87.61040333,High
233,Toluene,182.313778,0.5035528,20.71238575,3.443038151,Plasticizer,86.22253036,Low
234,Toluene,218.311592,4.145630408,9.316413396,5.836910033,Stabilizer,89.25163745,High
235,Toluene,217.7089728,0.894085533,11.46600592,7.264740488,Plasticizer,94.43630657,High
236,Toluene,211.4075817,3.352324184,16.70152157,5.461651594,Fillers,90.00744608,High
237,Ethyl Acetate,219.6531161,4.615774045,10.82625246,7.435578687,Stabilizer,91.35259139,High
238,Ethyl Acetate,201.7792933,1.438933609,19.71609174,5.609530244,Fillers,91.24162456,High
239,Dichloromethane,218.510734,3.493727763,28.07940071,4.668796647,Fillers,86.32572867,Low
240,Toluene,183.0242016,0.854143595,23.70223414,4.428840377,Fillers,88.90296882,High
241,Ethyl Acetate,194.6272299,3.216898147,21.66066535,5.287216472,Stabilizer,92.06938973,High
242,Dichloromethane,189.0152507,1.237692744,19.5680369,2.184716981,Fillers,94.71990099,High
243,Toluene,187.8333234,3.811791022,17.19869773,7.348201108,None,86.68017738,Low
244,Acetone,185.632118,1.855540827,9.664096491,8.760845128,None,89.1044189,High
245,Dichloromethane,204.8965457,2.58525954,27.36776139,4.837016756,Fillers,85.950938,Low
246,Ethyl Acetate,211.2528742,3.197437439,11.21340005,2.368265089,Plasticizer,87.4237646,High
247,Acetone,203.131936,1.270730348,7.282721939,9.894204779,Fillers,88.76759343,High
248,Acetone,185.8785084,3.837370184,23.75037948,4.109586044,Fillers,90.40643248,High
249,Acetone,212.4449508,1.861881533,9.390388358,3.012968974,Plasticizer,87.30566882,High
250,Dichloromethane,205.4381883,3.48067337,14.29739999,4.958020064,Stabilizer,87.27562661,High
251,Ethyl Acetate,195.5266282,1.212273728,5.707123207,7.908456325,Stabilizer,92.77829979,High
252,Acetone,206.9652118,3.596529466,8.426698564,4.351332775,Fillers,94.62641663,High
253,Toluene,190.3961992,1.076846328,9.330090769,6.597625631,None,88.23612968,High
254,Acetone,193.8076883,2.414104233,6.360253194,5.324479955,None,91.87992019,High
255,Acetone,216.6994337,1.612427332,21.41642392,2.942111938,None,87.58080461,High
256,Dichloromethane,191.6201802,3.867688622,25.9251949,4.6422961,Fillers,94.27952255,High
257,Dichloromethane,198.7995307,1.67915752,14.33288516,7.798964046,None,91.7290236,High
258,Ethyl Acetate,215.6056455,4.467727879,26.86441192,6.896031179,None,93.02676855,High
259,Toluene,208.308854,4.513190951,10.33366436,2.958227039,Stabilizer,85.49354043,Low
260,Dichloromethane,182.488129,1.383985919,13.13476059,3.306579278,Fillers,90.98505968,High
261,Acetone,185.8921218,3.262306753,8.768424826,7.125866874,Stabilizer,90.27612331,High
262,Ethyl Acetate,180.3136636,0.894729388,20.51397989,8.507323315,Plasticizer,87.92996907,High
263,Acetone,205.2368716,2.261916948,15.49673977,4.795795968,Stabilizer,87.62429985,High
264,Acetone,197.906937,3.709947783,20.33208367,6.762486015,Fillers,90.80024802,High
265,Dichloromethane,185.370994,3.467404611,24.04187263,3.36514871,None,92.06485635,High
266,Ethyl Acetate,218.3173648,3.311153012,18.6425754,4.491010695,Fillers,85.33172757,Low
267,Toluene,201.186389,1.771433886,20.69075887,2.162161645,Stabilizer,90.67401582,High
268,Toluene,189.6757318,2.201112272,28.38125786,8.146207582,Fillers,86.70459529,Low
269,Dichloromethane,200.0241428,0.963257651,12.47660774,5.208078558,Fillers,86.40362731,Low
270,Dichloromethane,207.1848133,3.735602692,13.97909847,8.529004589,Stabilizer,91.23119488,High
271,Ethyl Acetate,183.0495687,2.767499586,22.94258404,7.666983968,Stabilizer,88.10870117,High
272,Toluene,190.9881526,3.689445346,20.28263793,8.629954126,Plasticizer,89.40880233,High
273,Toluene,212.2786196,1.620245862,9.463322613,4.285269357,Plasticizer,88.59998809,High
274,Toluene,198.3865948,1.959972029,14.40368275,3.480869843,Stabilizer,91.4833632,High
275,Acetone,201.8630857,2.003969018,16.69595033,9.775245461,Fillers,89.70119766,High
276,Toluene,197.3126401,0.615840844,15.48474595,7.738622296,Stabilizer,94.63458662,High
277,Acetone,181.7559977,2.034715428,9.456870208,8.672338143,None,88.52382759,High
278,Ethyl Acetate,186.6299912,4.114870581,28.11075229,2.10506699,Plasticizer,92.4028434,High
279,Acetone,197.8216655,4.537843231,24.05796904,4.835692962,None,87.57292568,High
280,Ethyl Acetate,188.3674186,2.83198242,17.0338958,7.942533525,Fillers,90.08753093,High
281,Toluene,181.9991611,2.549757628,22.00152571,2.623862664,None,90.52569752,High
282,Toluene,213.7459866,0.638710784,27.4320668,6.538719437,Stabilizer,88.29109281,High
283,Ethyl Acetate,219.2477012,4.456419519,8.404353559,5.43258214,Stabilizer,89.71780529,High
284,Dichloromethane,211.725715,0.55854596,11.25932627,2.140932057,Stabilizer,87.79278638,High
285,Ethyl Acetate,214.1513969,4.751375361,18.56753118,3.887804617,None,85.06000782,Low
286,Dichloromethane,189.6790852,2.701473119,24.97525928,4.278335913,None,87.15648302,High
287,Acetone,218.425079,2.038705221,5.906372386,2.894879571,None,92.00064172,High
288,Acetone,187.8770282,4.658982957,29.60045375,7.052295278,Stabilizer,92.70963024,High
289,Acetone,218.0571924,0.609759469,16.37266507,3.93918301,Stabilizer,87.80202867,High
290,Toluene,219.7927718,3.116412027,13.98077852,4.220955997,Stabilizer,89.08042999,High
291,Acetone,208.4689122,2.97019636,12.31811095,9.185908786,None,85.3736566,Low
292,Dichloromethane,219.2457493,1.486941805,9.358917691,5.736984742,None,87.37062901,High
293,Acetone,202.7815912,2.429993441,24.78934772,5.137025176,Fillers,92.79219283,High
294,Ethyl Acetate,190.3816713,3.435188027,28.88535412,7.790968307,Plasticizer,91.0598627,High
295,Ethyl Acetate,197.4798354,3.772090386,15.34111887,9.276910375,Stabilizer,87.05770522,High
296,Toluene,203.7424374,0.503225864,28.81051737,2.20029069,None,87.57441995,High
297,Ethyl Acetate,182.9232625,4.715840435,25.59494039,5.585910772,Plasticizer,93.16802023,High
298,Dichloromethane,204.8937306,1.240364176,17.02627819,6.886250849,None,87.09084203,High
299,Acetone,219.2471135,1.551111954,21.85065448,4.548504785,None,88.34157726,High
300,Toluene,187.604306,1.685630506,15.87460448,8.179261777,Stabilizer,91.64358692,High
